epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6197,0.62493,1.9873,1.08296,0.62738,0.88716,0.68932,0.6082,0.52288,1.32859,1.0624,0.000471372,0.000471372,0.000471372
2,70.7425,0.6553,1.38228,1.08203,0.53693,0.86905,0.65622,0.54043,0.71807,1.33622,1.3603,0.00094145,0.00094145,0.00094145
3,104.679,0.68327,1.24258,1.08813,0.56957,0.84322,0.65575,0.52809,0.73097,1.22512,1.19726,0.00140524,0.00140524,0.00140524
4,131.459,0.64743,1.08909,1.05119,0.61028,0.95764,0.68032,0.562,0.64188,0.9106,1.20565,0.00140071,0.00140071,0.00140071
5,160.813,0.61607,0.96906,1.04618,0.65069,0.98621,0.67805,0.59661,0.52858,0.71767,1.04806,0.00139127,0.00139127,0.00139127
6,185.477,0.60445,0.91454,1.04213,0.64486,0.9908,0.69045,0.6116,0.52664,0.6722,1.03743,0.00138184,0.00138184,0.00138184
7,211.106,0.61763,0.8903,1.05227,0.63979,0.98831,0.67678,0.59012,0.54995,0.66055,1.06182,0.00137241,0.00137241,0.00137241
8,237.468,0.58472,0.85861,1.02356,0.65001,0.97965,0.67792,0.6144,0.48794,0.64408,0.99871,0.00136298,0.00136298,0.00136298
9,262.816,0.57936,0.83216,1.02203,0.64221,0.98429,0.68717,0.61795,0.47045,0.62041,0.96156,0.00135355,0.00135355,0.00135355
10,288.517,0.56311,0.80643,1.00314,0.62965,0.96992,0.68815,0.61604,0.49988,0.65545,1.02026,0.00134412,0.00134412,0.00134412
11,314.957,0.57834,0.79087,1.02142,0.64693,1,0.69073,0.62592,0.46391,0.58368,0.9534,0.00133469,0.00133469,0.00133469
12,341.379,0.54877,0.78044,1.00028,0.65871,0.98912,0.68177,0.61496,0.43763,0.58814,0.95697,0.00132525,0.00132525,0.00132525
13,371.292,0.54291,0.77338,1.00303,0.64516,0.99552,0.70315,0.63257,0.48835,0.60782,0.99653,0.00131582,0.00131582,0.00131582
14,405.217,0.54486,0.76774,0.99844,0.63454,0.9949,0.69263,0.61959,0.47627,0.56995,0.97207,0.00130639,0.00130639,0.00130639
15,432.316,0.53424,0.76372,1.00501,0.65021,0.99174,0.67345,0.61683,0.43841,0.57267,0.95594,0.00129696,0.00129696,0.00129696
16,459.79,0.52362,0.77266,0.99519,0.65292,0.9954,0.67806,0.62253,0.44043,0.56728,0.93121,0.00128753,0.00128753,0.00128753
17,486.103,0.52432,0.75651,0.99574,0.64736,0.9977,0.70195,0.63265,0.43151,0.57058,0.93789,0.0012781,0.0012781,0.0012781
18,514.146,0.52234,0.74302,0.98853,0.63847,0.9931,0.69027,0.62783,0.46569,0.56684,0.97023,0.00126867,0.00126867,0.00126867
19,545.564,0.52531,0.73755,0.9979,0.66143,0.9977,0.69496,0.63548,0.44041,0.54213,0.93413,0.00125923,0.00125923,0.00125923
20,572.869,0.50958,0.73153,0.99228,0.63486,0.97241,0.66478,0.60556,0.44468,0.63658,0.96081,0.0012498,0.0012498,0.0012498
21,601.996,0.51984,0.738,0.99542,0.65656,0.99706,0.69755,0.65005,0.41886,0.55604,0.92793,0.00124037,0.00124037,0.00124037
22,629.294,0.50777,0.73243,0.98512,0.65605,1,0.69674,0.63726,0.43345,0.54728,0.95048,0.00123094,0.00123094,0.00123094
23,655.045,0.4897,0.72145,0.97667,0.63511,0.99684,0.68894,0.63648,0.41972,0.54491,0.93488,0.00122151,0.00122151,0.00122151
24,680.496,0.49149,0.72225,0.97518,0.62257,0.9954,0.6953,0.64086,0.41562,0.55122,0.93416,0.00121208,0.00121208,0.00121208
25,708.099,0.49608,0.72649,0.97409,0.63317,0.9954,0.68346,0.63441,0.40502,0.54823,0.92111,0.00120265,0.00120265,0.00120265
26,734.406,0.47869,0.68949,0.97088,0.64607,0.9977,0.67362,0.62249,0.40461,0.54482,0.90509,0.00119322,0.00119322,0.00119322
27,764.075,0.49305,0.71401,0.97504,0.65337,0.99991,0.69853,0.64655,0.407,0.5296,0.91184,0.00118378,0.00118378,0.00118378
28,791.74,0.48491,0.70708,0.97798,0.64824,0.9931,0.69165,0.64182,0.38622,0.54363,0.89877,0.00117435,0.00117435,0.00117435
29,818.564,0.48245,0.70313,0.96835,0.66195,1,0.70278,0.65424,0.41209,0.51747,0.90588,0.00116492,0.00116492,0.00116492
30,846.448,0.48205,0.68345,0.97391,0.65623,1,0.69574,0.64741,0.38246,0.52019,0.89938,0.00115549,0.00115549,0.00115549
31,886.383,0.4818,0.6962,0.96404,0.65258,1,0.70455,0.66253,0.37224,0.50185,0.88182,0.00114606,0.00114606,0.00114606
32,933.498,0.47854,0.69444,0.96972,0.65915,1,0.69489,0.65485,0.38613,0.50061,0.9096,0.00113663,0.00113663,0.00113663
