epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,440.392,0.46311,0.50122,0.96276,0.65612,0.99215,0.71659,0.68115,0.36395,0.50495,0.87496,0.00104231,0.00104231,0.00104231
43,450.734,0.47081,0.52501,0.97293,0.64797,0.98333,0.6896,0.64585,0.3973,0.53106,0.91833,0.00103288,0.00103288,0.00103288
44,460.974,0.45503,0.5237,0.95596,0.6573,0.99444,0.68251,0.63869,0.40711,0.5216,0.93382,0.00102345,0.00102345,0.00102345
45,471.343,0.44696,0.49326,0.95455,0.64274,0.98566,0.66486,0.6228,0.38294,0.51412,0.8969,0.00101402,0.00101402,0.00101402
46,481.712,0.44801,0.51156,0.94757,0.66032,1,0.70669,0.66562,0.36459,0.49176,0.88204,0.00100459,0.00100459,0.00100459
47,491.995,0.44794,0.51199,0.9523,0.65716,0.99444,0.69725,0.65067,0.40494,0.51133,0.9118,0.000995156,0.000995156,0.000995156
48,502.386,0.4439,0.49822,0.95574,0.65993,0.99444,0.6855,0.63923,0.39324,0.51517,0.90307,0.000985724,0.000985724,0.000985724
49,512.543,0.45422,0.50814,0.9571,0.65984,0.99444,0.67001,0.63726,0.34645,0.51051,0.86947,0.000976293,0.000976293,0.000976293
50,522.87,0.43772,0.50039,0.95275,0.64804,0.99215,0.69052,0.65384,0.37589,0.50931,0.87624,0.000966861,0.000966861,0.000966861
51,533.222,0.44674,0.49311,0.95963,0.63821,0.97715,0.70994,0.66685,0.37312,0.52633,0.90681,0.00095743,0.00095743,0.00095743
52,543.458,0.4464,0.50012,0.95067,0.65308,0.99612,0.6913,0.64721,0.35948,0.50117,0.87419,0.000947999,0.000947999,0.000947999
53,553.877,0.44394,0.48896,0.94932,0.65555,0.98889,0.67956,0.64873,0.34076,0.50504,0.85674,0.000938567,0.000938567,0.000938567
54,564.13,0.42524,0.479,0.94498,0.65013,0.9935,0.69074,0.65472,0.3749,0.5136,0.8857,0.000929136,0.000929136,0.000929136
55,574.367,0.43969,0.49025,0.95302,0.65853,0.99527,0.70379,0.66363,0.36157,0.482,0.87702,0.000919704,0.000919704,0.000919704
56,584.614,0.4399,0.50468,0.94624,0.65388,0.99215,0.68758,0.65005,0.37267,0.48756,0.90316,0.000910273,0.000910273,0.000910273
57,594.883,0.43687,0.48562,0.94521,0.65361,1,0.70291,0.66572,0.37638,0.49177,0.88945,0.000900842,0.000900842,0.000900842
58,605.157,0.4465,0.4792,0.9614,0.64967,0.99852,0.70386,0.67333,0.3517,0.48935,0.86768,0.00089141,0.00089141,0.00089141
59,615.469,0.44351,0.50294,0.94983,0.61598,0.99015,0.71461,0.67747,0.38053,0.58735,0.90146,0.000881979,0.000881979,0.000881979
60,625.913,0.40944,0.47237,0.92923,0.6579,1,0.69702,0.65082,0.3606,0.48993,0.87197,0.000872547,0.000872547,0.000872547
61,636.198,0.42001,0.48229,0.94413,0.65928,1,0.68804,0.66041,0.33514,0.47933,0.85453,0.000863116,0.000863116,0.000863116
62,646.498,0.42472,0.47949,0.94336,0.65172,0.9899,0.71138,0.67893,0.33372,0.49656,0.85682,0.000853685,0.000853685,0.000853685
63,656.779,0.41911,0.48015,0.94133,0.65812,0.98889,0.69256,0.65856,0.35274,0.48457,0.86901,0.000844253,0.000844253,0.000844253
64,667.135,0.41875,0.47382,0.93642,0.66166,0.99663,0.69741,0.65951,0.37593,0.49242,0.88103,0.000834822,0.000834822,0.000834822
65,677.431,0.42509,0.47547,0.93945,0.65591,0.99301,0.6993,0.6603,0.36521,0.48744,0.8849,0.00082539,0.00082539,0.00082539
66,687.761,0.41454,0.47351,0.93691,0.65741,0.98333,0.68767,0.65709,0.34498,0.50839,0.85893,0.000815959,0.000815959,0.000815959
67,698.091,0.42131,0.47824,0.94515,0.65389,0.98612,0.71893,0.68416,0.33673,0.49344,0.85223,0.000806528,0.000806528,0.000806528
68,708.505,0.4109,0.47534,0.94078,0.64805,0.99604,0.68166,0.65374,0.33108,0.49482,0.85348,0.000797096,0.000797096,0.000797096
69,718.759,0.40709,0.46666,0.93758,0.65521,1,0.69464,0.66162,0.34155,0.4842,0.86221,0.000787665,0.000787665,0.000787665
70,729.608,0.41024,0.47385,0.94098,0.65521,0.99112,0.66907,0.63731,0.33392,0.48285,0.86567,0.000778233,0.000778233,0.000778233
71,740.785,0.41009,0.46024,0.93267,0.64966,0.99491,0.70884,0.67313,0.32842,0.47659,0.85621,0.000768802,0.000768802,0.000768802
72,751.673,0.40646,0.46365,0.93694,0.65707,0.99444,0.69842,0.67224,0.35183,0.47901,0.86375,0.000759371,0.000759371,0.000759371
